Attribute	frequency
strawberries	8
mob	8
bro	8
noon	8
wasnt	8
eatery	8
wider	8
respect	8
charges	8
specialties	8
arrives	8
chow	8
opening	8
masalas	8
found	8
enjoys	8
quirky	8
hipster	8
stage	8
confirm	8
bevs	8
boozy	8
dense	8
has	8
allergy	8
hitting	8
stretch	8
familiar	8
draft	8
cheek	8
peanut	8
malt	8
aioli	8
unless	8
dahl	8
explosion	8
delish	8
broccoli	8
spotless	8
hunks	8
ac	8
apron	8
gray	8
disclosure	8
mistakes	8
situations	8
vindaloos	8
jamman	8
leaf	8
pile	8
island	8
panera	8
boney	8
chhole	8
upcharge	8
strand	8
patty	8
backyard	8
matre	8
affairs	8
gathers	8
chappati	8
doodh	8
timer	8
plulao	8
regency	8
aur	8
distinct	8
discomfort	8
tri	8
vellore	8
placement	8
selling	8
grubby	8
pilaw	8
shady	8
pillao	8
charga	8
satisfies	8
clientele	8
theres	8
chola	8
misal	8
norm	8
sheep	8
overpowers	8
christmas	8
prepare	8
handmade	8
maniya	8
efforts	8
plane	8
recommends	8
hype	8
cabs	8
pulaov	8
kyle	8
oily	8
lacking	8
hang	8
brands	8
tollerance	8
uncle	8
roy	8
recall	8
picky	8
tray	8
staples	8
doggie	8
herself	8
silver	8
warn	8
chaman	8
skimpy	8
reference	8
vodka	8
chains	8
moves	8
magnificent	8
ona	8
conversing	8
freddy	8
garrick	8
girnar	8
pickels	8
suave	8
programs	8
miles	8
poorest	8
involves	8
couch	8
casual	8
peeve	8
calories	8
garnishes	8
glitches	8
ruin	8
cheeseburger	8
information	8
boring	8
mughal	8
tower	8
royal	8
cart	8
auto	8
character	8
barta	8
charming	8
carbs	8
spin	8
uthappam	8
customization	8
patience	8
mediterranean	8
sharma	8
splash	8
slimy	8
waffle	8
kafta	8
negatives	8
adds	8
scooper	8
fridge	8
plump	8
ventilation	8
dream	8
lifesaver	8
skewers	8
matters	8
ghabi	8
shelves	8
sodas	8
iol	8
airport	8
tour	8
speedy	8
avg	8
stores	8
exuberant	8
armpits	8
alike	8
all	8
grades	8
yeast	8
kill	8
proprietors	8
exhaust	8
heroes	8
ing	8
volume	8
karai	8
taghuer	8
chest	8
complains	8
overdoing	8
uncles	8
execution	8
appreciate	8
neon	8
accdg	8
wiping	8
chatting	8
jalfrajee	8
sapphire	8
resmi	8
fits	8
coctails	8
pratha	8
taka	8
tak	8
annoyance	8
attempts	8
turnout	8
northshore	8
intolerance	8
converstation	8
artichokes	8
pulpo	8
crumbles	8
sorbet	8
relatives	8
rounds	8
fi	8
housefly	8
brundle	8
engaging	8
paani	8
anaari	8
scallops	8
nightlife	8
tukra	8
disaster	8
infusion	8
greek	8
doldrum	8
offenses	8
maple	8
panipuri	8
puerto	8
nick	8
mousse	8
margaritas	8
client	8
sarson	8
nye	8
glutton	8
texts	8
tie	8
bouche	8
comfy	8
mule	8
spritzer	8
brussel	8
strategy	8
merging	8
fluffing	8
naomi	8
baller	8
regrets	8
mulaghatani	8
delhi	8
toward	8
pallak	8
transportation	8
asking	8
mcdonalds	8
spicer	8
germophobes	8
grossness	8
geez	8
shah	8
jahani	8
leech	8
accolades	8
african	8
reviewing	8
dictates	8
trace	8
mutant	8
whopping	8
filipino	8
lightness	8
bryani	8
sriracha	8
jalapeo	8
hottest	8
methods	8
bele	8
